indicator_id,indicator_text,bednarova_cii,cpi_normalised,cpi_original,roth_normalised,roth_original,total_unweighted,our_weight,source_quote
financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made",,1.75,1,,,1.75,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
financials.11,"Campaign/political contributions, including in-kind",,1.75,1,1,2,2.75,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
contact_log.1,Organisation/interest(s) represented (beneficiary),,,,1,2,1,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
contact_log.2,Names of persons contacted and their position/role,,,,1,2,1,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
contact_log.3,Institution/department contacted,,,,1,2,1,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
contact_log.4,"If a meeting, names of all attendees",,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
contact_log.5,Date,,,,1,2,1,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
contact_log.6,"Form (e.g. in person meeting, video conference, phone call)",,,,1,2,1,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
contact_log.7,Location,,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
contact_log.8,"Any materials that were shared, excluding commercially sensitive materials (before, during and after the meeting)",,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
contact_log.9,Topics/issues discussed,4,5.25,3,1,2,10.25,3,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
contact_log.10,Outcomes sought (e.g. legislation/policies supported/opposed),,,,,,,3,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
contact_log.11,"Targeted areas of public policy or legislation, including a list of official legislative references/bill numbers/measures etc.",5,5.25,3,1,2,11.25,3,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
